Product_ID,Product_Name,Category,Screen_Size,Resolution,Panel_Type,Price_USD,MSRP_USD,Cost_USD,Margin_Percent,Weight_LBS,Dimensions,HDR_Support,Smart_TV,Refresh_Rate,Release_Year,Warranty_Years,Energy_Rating,Stock_Status
AUDIO-43-00010,"Audio 43"" - Model 00010",Audio,43,4K UHD,VA,315.54,359.05,210.99,33.0,42.5,38.3x21.9x4.6,No,N/A,75Hz,2023,3,N/A,Pre-order
COMMERCIAL-DISPLAY-65-00011,"Commercial Display 65"" - Model 00011",Commercial Display,65,1440p,VA,1464.83,1649.87,840.16,43.0,61.8,57.9x33.1x2.1,N/A,Yes,144Hz,2024,2,A++,In Stock
QLED-TV-77-00012,"QLED TV 77"" - Model 00012",QLED TV,77,720p,QLED,1708.91,2084.08,1182.9,31.0,69.4,68.5x39.3x3.6,N/A,Yes,144Hz,2023,5,A+,In Stock
COMPUTER-MONITOR-24-00013,"Computer Monitor 24"" - Model 00013",Computer Monitor,24,1440p,LCD,479.36,537.87,261.72,45.0,30.6,21.4x12.2x3.3,Yes,Yes,165Hz,2023,2,A++,In Stock
PROJECTOR-43-00014,"Projector 43"" - Model 00014",Projector,43,1080p,Laser,1557.42,1824.05,961.23,38.0,48.2,38.3x21.9x3.7,Yes,N/A,N/A,2024,5,A+,In Stock
OLED-TV-70-00015,"OLED TV 70"" - Model 00015",OLED TV,70,8K UHD,QLED,2236.83,2667.37,1368.06,39.0,67.1,62.3x35.7x3.8,No,N/A,60Hz,2024,1,N/A,In Stock
COMPUTER-MONITOR-75-00016,"Computer Monitor 75"" - Model 00016",Computer Monitor,75,4K UHD,QLED,880.59,1106.57,505.04,43.0,73.5,66.8x38.2x4.3,Yes,Yes,N/A,2023,3,N/A,In Stock
COMPUTER-MONITOR-50-00017,"Computer Monitor 50"" - Model 00017",Computer Monitor,50,4K UHD,Laser,688.1,785.45,442.28,36.0,46.4,44.5x25.5x2.4,N/A,Yes,144Hz,2024,2,A+,In Stock
AUDIO-60-00018,"Audio 60"" - Model 00018",Audio,60,1080p,VA,69.42,81.99,48.02,31.0,62.1,53.4x30.6x4.4,No,No,165Hz,2024,2,A+,Limited
ACCESSORIES-0-00019,Accessories - SKU 00019,Accessories,0,4K UHD,Laser,283.63,361.33,163.81,42.0,8.5,N/A,Yes,No,144Hz,2024,1,B+,Limited
PROJECTOR-77-00020,"Projector 77"" - Model 00020",Projector,77,8K UHD,IPS,759.07,845.21,410.69,46.0,73.5,68.5x39.3x4.5,N/A,No,144Hz,2024,5,A++,In Stock
ACCESSORIES-0-00021,Accessories - SKU 00021,Accessories,0,1440p,QLED,230.57,287.59,124.6,46.0,2.4,N/A,No,Yes,60Hz,2023,3,N/A,In Stock
COMMERCIAL-DISPLAY-75-00022,"Commercial Display 75"" - Model 00022",Commercial Display,75,4K UHD,VA,1490.95,1659.41,887.74,40.0,72.9,66.8x38.2x3.7,N/A,No,60Hz,2023,2,B+,In Stock
AUDIO-65-00023,"Audio 65"" - Model 00023",Audio,65,4K UHD,IPS,241.8,274.8,127.36,47.0,64.8,57.9x33.1x4.9,No,N/A,144Hz,2024,5,A++,In Stock
LCD-TV-43-00024,"LCD TV 43"" - Model 00024",LCD TV,43,4K UHD,LCD,515.64,582.81,295.09,43.0,48.4,38.3x21.9x2.6,Yes,No,144Hz,2023,3,A++,In Stock
COMMERCIAL-DISPLAY-43-00025,"Commercial Display 43"" - Model 00025",Commercial Display,43,8K UHD,Laser,1071.35,1391.83,633.63,41.0,40.3,38.3x21.9x4.4,Yes,Yes,N/A,2024,3,B+,In Stock
ACCESSORIES-0-00026,Accessories - SKU 00026,Accessories,0,4K UHD,IPS,201.32,235.02,137.38,32.0,9.4,N/A,No,N/A,165Hz,2024,2,B+,In Stock
COMMERCIAL-DISPLAY-32-00027,"Commercial Display 32"" - Model 00027",Commercial Display,32,8K UHD,VA,962.08,1078.8,578.85,40.0,32.1,28.5x16.3x4.3,No,No,240Hz,2023,2,B+,Pre-order
LCD-TV-43-00028,"LCD TV 43"" - Model 00028",LCD TV,43,4K UHD,N/A,550.37,702.71,365.17,34.0,45.1,38.3x21.9x2.2,No,N/A,120Hz,2023,2,N/A,Limited
QLED-TV-60-00029,"QLED TV 60"" - Model 00029",QLED TV,60,8K UHD,QLED,1479.14,1745.49,987.6,33.0,61.9,53.4x30.6x4.2,Yes,No,165Hz,2024,3,A+++,Limited
COMMERCIAL-DISPLAY-24-00030,"Commercial Display 24"" - Model 00030",Commercial Display,24,1080p,QLED,924.77,1181.73,483.41,48.0,27.1,21.4x12.2x3.8,N/A,No,240Hz,2024,2,B+,Limited
COMMERCIAL-DISPLAY-98-00031,"Commercial Display 98"" - Model 00031",Commercial Display,98,1080p,N/A,1754.82,1942.76,896.79,49.0,85.8,87.2x50.0x4.2,N/A,Yes,165Hz,2023,3,N/A,Pre-order
OLED-TV-24-00032,"OLED TV 24"" - Model 00032",OLED TV,24,8K UHD,OLED,1256.25,1527.65,748.44,40.0,25.1,21.4x12.2x4.7,Yes,Yes,N/A,2023,5,A++,Limited
LCD-TV-48-00033,"LCD TV 48"" - Model 00033",LCD TV,48,4K UHD,IPS,565.96,658.17,393.07,31.0,52.9,42.7x24.5x2.9,Yes,N/A,60Hz,2024,3,B+,In Stock
OLED-TV-80-00034,"OLED TV 80"" - Model 00034",OLED TV,80,4K UHD,Laser,2429.87,2931.91,1657.4,32.0,76.0,71.2x40.8x4.4,N/A,Yes,165Hz,2024,2,A+++,In Stock
COMPUTER-MONITOR-45-00035,"Computer Monitor 45"" - Model 00035",Computer Monitor,45,4K UHD,N/A,569.08,664.3,363.78,36.0,41.3,40.0x22.9x2.9,No,Yes,N/A,2023,2,A+++,Limited
QLED-TV-77-00036,"QLED TV 77"" - Model 00036",QLED TV,77,8K UHD,IPS,1666.31,2026.3,961.32,42.0,69.2,68.5x39.3x3.9,No,No,165Hz,2024,2,N/A,In Stock
PROJECTOR-24-00037,"Projector 24"" - Model 00037",Projector,24,1440p,IPS,316.36,368.84,188.91,40.0,28.1,21.4x12.2x2.6,N/A,No,120Hz,2024,2,A++,Limited
COMPUTER-MONITOR-77-00038,"Computer Monitor 77"" - Model 00038",Computer Monitor,77,720p,N/A,975.88,1176.89,670.26,31.0,66.7,68.5x39.3x3.6,No,No,144Hz,2024,2,N/A,Pre-order
COMMERCIAL-DISPLAY-27-00039,"Commercial Display 27"" - Model 00039",Commercial Display,27,1080p,VA,956.45,1165.64,539.66,44.0,32.5,24.0x13.8x4.0,Yes,N/A,75Hz,2024,1,A++,In Stock
PROJECTOR-24-00040,"Projector 24"" - Model 00040",Projector,24,4K UHD,IPS,1971.2,2196.75,1160.08,41.0,29.7,21.4x12.2x2.9,Yes,N/A,N/A,2024,2,A+,In Stock
PROJECTOR-65-00041,"Projector 65"" - Model 00041",Projector,65,4K UHD,IPS,527.62,581.86,277.11,47.0,59.8,57.9x33.1x4.8,No,Yes,165Hz,2024,2,A++,In Stock
OLED-TV-98-00042,"OLED TV 98"" - Model 00042",OLED TV,98,4K UHD,QLED,2811.84,3215.49,1592.95,43.0,92.0,87.2x50.0x2.1,Yes,No,75Hz,2024,2,B+,Pre-order
OLED-TV-50-00043,"OLED TV 50"" - Model 00043",OLED TV,50,1440p,Laser,1803.55,2231.17,1200.02,33.0,47.3,44.5x25.5x3.1,No,Yes,120Hz,2024,3,A+,In Stock
PROJECTOR-60-00044,"Projector 60"" - Model 00044",Projector,60,720p,LCD,1787.24,2109.37,1013.92,43.0,59.0,53.4x30.6x2.9,Yes,N/A,240Hz,2024,2,B+,Pre-order
LCD-TV-98-00045,"LCD TV 98"" - Model 00045",LCD TV,98,720p,OLED,1055.98,1335.82,675.62,36.0,93.4,87.2x50.0x2.3,N/A,Yes,60Hz,2023,2,B+,Pre-order
AUDIO-75-00046,"Audio 75"" - Model 00046",Audio,75,1440p,IPS,67.27,85.13,43.59,35.0,70.1,66.8x38.2x3.1,N/A,Yes,N/A,2023,5,A+++,In Stock
QLED-TV-75-00047,"QLED TV 75"" - Model 00047",QLED TV,75,720p,OLED,1705.49,2141.28,1159.77,32.0,66.1,66.8x38.2x4.4,No,No,75Hz,2023,2,A+++,Limited
PROJECTOR-45-00048,"Projector 45"" - Model 00048",Projector,45,720p,N/A,621.23,720.08,393.54,37.0,48.3,40.0x22.9x2.7,N/A,No,144Hz,2024,1,A++,In Stock
ACCESSORIES-0-00049,Accessories - SKU 00049,Accessories,0,720p,OLED,176.19,207.33,118.46,33.0,6.0,N/A,No,Yes,120Hz,2024,1,A++,In Stock
AUDIO-60-00050,"Audio 60"" - Model 00050",Audio,60,4K UHD,N/A,331.26,398.84,184.67,44.0,54.8,53.4x30.6x3.7,No,No,60Hz,2024,2,A++,Limited
ACCESSORIES-0-00051,Accessories - SKU 00051,Accessories,0,1080p,Laser,8.24,10.55,5.23,37.0,4.1,N/A,Yes,N/A,240Hz,2023,3,A+,In Stock
ACCESSORIES-0-00052,Accessories - SKU 00052,Accessories,0,8K UHD,OLED,280.52,317.65,159.33,43.0,8.6,N/A,Yes,Yes,N/A,2023,2,A+,Limited
AUDIO-45-00053,"Audio 45"" - Model 00053",Audio,45,1080p,OLED,234.05,301.03,156.93,33.0,47.3,40.0x22.9x2.8,Yes,No,165Hz,2024,3,A+,In Stock
OLED-TV-60-00054,"OLED TV 60"" - Model 00054",OLED TV,60,4K UHD,VA,2009.65,2521.43,1123.33,44.0,62.5,53.4x30.6x3.8,Yes,N/A,240Hz,2023,3,A++,Pre-order
OLED-TV-98-00055,"OLED TV 98"" - Model 00055",OLED TV,98,4K UHD,DLP,2796.9,3128.42,1514.07,46.0,86.9,87.2x50.0x2.3,No,N/A,120Hz,2024,1,A++,Pre-order
COMMERCIAL-DISPLAY-70-00056,"Commercial Display 70"" - Model 00056",Commercial Display,70,720p,Laser,1539.94,1962.89,873.13,43.0,68.6,62.3x35.7x3.2,No,N/A,75Hz,2024,3,N/A,In Stock
LCD-TV-98-00057,"LCD TV 98"" - Model 00057",LCD TV,98,8K UHD,LCD,1041.38,1287.48,620.86,40.0,88.4,87.2x50.0x3.7,N/A,No,144Hz,2024,2,A+,In Stock
QLED-TV-55-00058,"QLED TV 55"" - Model 00058",QLED TV,55,4K UHD,IPS,1390.86,1785.55,842.7,39.0,57.4,49.0x28.1x2.3,No,No,N/A,2024,1,B+,In Stock
LCD-TV-83-00059,"LCD TV 83"" - Model 00059",LCD TV,83,8K UHD,VA,921.74,1192.28,608.33,34.0,78.8,73.9x42.3x2.5,Yes,Yes,165Hz,2023,3,A+,In Stock
OLED-TV-65-00060,"OLED TV 65"" - Model 00060",OLED TV,65,1080p,QLED,2088.21,2298.15,1075.45,48.0,57.2,57.9x33.1x2.9,N/A,N/A,165Hz,2023,2,A+++,Limited
LCD-TV-27-00061,"LCD TV 27"" - Model 00061",LCD TV,27,1440p,VA,510.74,654.32,264.75,48.0,35.7,24.0x13.8x3.9,N/A,No,N/A,2024,1,A++,In Stock
PROJECTOR-32-00062,"Projector 32"" - Model 00062",Projector,32,8K UHD,OLED,1875.91,2139.62,1188.89,37.0,38.0,28.5x16.3x3.7,Yes,No,60Hz,2024,2,A++,Limited
LCD-TV-75-00063,"LCD TV 75"" - Model 00063",LCD TV,75,1440p,DLP,831.51,973.71,443.85,47.0,67.6,66.8x38.2x3.9,N/A,No,N/A,2024,2,N/A,In Stock
PROJECTOR-60-00064,"Projector 60"" - Model 00064",Projector,60,8K UHD,OLED,356.73,449.18,216.58,39.0,56.0,53.4x30.6x4.4,No,N/A,60Hz,2023,3,A+++,In Stock
ACCESSORIES-0-00065,Accessories - SKU 00065,Accessories,0,1440p,Laser,0.49,0.55,0.28,43.0,6.0,N/A,Yes,Yes,N/A,2024,1,A+,Pre-order
PROJECTOR-55-00066,"Projector 55"" - Model 00066",Projector,55,720p,IPS,713.21,824.21,457.58,36.0,49.8,49.0x28.1x4.6,N/A,Yes,165Hz,2023,2,B+,In Stock
AUDIO-70-00067,"Audio 70"" - Model 00067",Audio,70,4K UHD,IPS,245.7,294.21,147.56,40.0,70.9,62.3x35.7x2.8,N/A,Yes,165Hz,2024,2,A++,Pre-order
ACCESSORIES-0-00068,Accessories - SKU 00068,Accessories,0,1080p,N/A,265.54,323.28,139.26,48.0,9.5,N/A,N/A,N/A,240Hz,2023,5,N/A,In Stock
PROJECTOR-43-00069,"Projector 43"" - Model 00069",Projector,43,4K UHD,OLED,1720.7,2021.46,1149.77,33.0,42.7,38.3x21.9x3.3,No,N/A,75Hz,2024,3,A+,In Stock
AUDIO-40-00070,"Audio 40"" - Model 00070",Audio,40,4K UHD,DLP,247.49,278.43,155.09,37.0,42.3,35.6x20.4x3.2,No,N/A,60Hz,2024,1,N/A,In Stock
LCD-TV-43-00071,"LCD TV 43"" - Model 00071",LCD TV,43,8K UHD,DLP,603.03,663.63,405.19,33.0,48.6,38.3x21.9x2.2,Yes,No,120Hz,2024,2,B+,In Stock
LCD-TV-65-00072,"LCD TV 65"" - Model 00072",LCD TV,65,1440p,QLED,766.17,862.46,398.15,48.0,60.3,57.9x33.1x2.9,Yes,N/A,60Hz,2024,5,A++,In Stock
COMMERCIAL-DISPLAY-27-00073,"Commercial Display 27"" - Model 00073",Commercial Display,27,1440p,Laser,912.14,1166.05,465.03,49.0,34.2,24.0x13.8x2.6,N/A,Yes,144Hz,2023,3,A+,Limited
COMPUTER-MONITOR-27-00074,"Computer Monitor 27"" - Model 00074",Computer Monitor,27,1080p,VA,496.79,621.93,278.66,44.0,28.1,24.0x13.8x2.5,No,Yes,240Hz,2023,3,N/A,In Stock
PROJECTOR-43-00075,"Projector 43"" - Model 00075",Projector,43,720p,DLP,985.22,1199.75,575.12,42.0,45.3,38.3x21.9x2.2,Yes,Yes,N/A,2023,2,N/A,In Stock
COMPUTER-MONITOR-32-00076,"Computer Monitor 32"" - Model 00076",Computer Monitor,32,8K UHD,OLED,464.22,543.04,244.18,47.0,36.2,28.5x16.3x4.9,Yes,No,165Hz,2024,5,A++,In Stock
LCD-TV-32-00077,"LCD TV 32"" - Model 00077",LCD TV,32,720p,OLED,408.92,466.39,249.58,39.0,39.8,28.5x16.3x4.8,Yes,No,120Hz,2024,2,A+,In Stock
AUDIO-98-00078,"Audio 98"" - Model 00078",Audio,98,1440p,LCD,115.02,137.03,58.77,49.0,88.2,87.2x50.0x2.4,Yes,Yes,75Hz,2024,1,A+++,In Stock
QLED-TV-55-00079,"QLED TV 55"" - Model 00079",QLED TV,55,4K UHD,QLED,1350.9,1640.82,833.28,38.0,58.5,49.0x28.1x2.2,N/A,Yes,144Hz,2024,1,A+++,In Stock
COMPUTER-MONITOR-85-00080,"Computer Monitor 85"" - Model 00080",Computer Monitor,85,1440p,DLP,980.5,1205.66,550.3,44.0,74.6,75.7x43.4x3.8,No,Yes,N/A,2023,2,A+++,In Stock
PROJECTOR-24-00081,"Projector 24"" - Model 00081",Projector,24,4K UHD,OLED,979.63,1181.87,662.9,32.0,32.9,21.4x12.2x3.1,No,N/A,75Hz,2024,2,B+,In Stock
AUDIO-32-00082,"Audio 32"" - Model 00082",Audio,32,1080p,N/A,305.18,335.84,169.15,45.0,39.9,28.5x16.3x3.0,N/A,Yes,165Hz,2024,5,A++,In Stock
LCD-TV-98-00083,"LCD TV 98"" - Model 00083",LCD TV,98,1080p,VA,1082.13,1285.03,741.08,32.0,86.7,87.2x50.0x3.2,N/A,No,144Hz,2024,2,A++,In Stock
OLED-TV-65-00084,"OLED TV 65"" - Model 00084",OLED TV,65,8K UHD,QLED,2090.64,2657.92,1191.18,43.0,66.6,57.9x33.1x2.1,Yes,N/A,60Hz,2024,5,N/A,Limited
PROJECTOR-48-00085,"Projector 48"" - Model 00085",Projector,48,720p,DLP,1313.14,1556.27,684.06,48.0,47.2,42.7x24.5x3.6,Yes,No,75Hz,2023,1,N/A,Pre-order
LCD-TV-50-00086,"LCD TV 50"" - Model 00086",LCD TV,50,1440p,DLP,628.93,810.31,335.91,47.0,47.3,44.5x25.5x2.9,No,N/A,120Hz,2024,1,A+,In Stock
AUDIO-65-00087,"Audio 65"" - Model 00087",Audio,65,720p,QLED,241.41,284.36,122.83,49.0,67.0,57.9x33.1x3.4,No,No,N/A,2023,3,A+,Pre-order
QLED-TV-70-00088,"QLED TV 70"" - Model 00088",QLED TV,70,1080p,OLED,1519.78,1865.04,887.16,42.0,63.7,62.3x35.7x3.3,Yes,No,165Hz,2024,5,B+,Limited
LCD-TV-48-00089,"LCD TV 48"" - Model 00089",LCD TV,48,1440p,VA,664.5,734.06,428.54,36.0,49.9,42.7x24.5x3.5,N/A,N/A,60Hz,2024,2,N/A,In Stock
OLED-TV-85-00090,"OLED TV 85"" - Model 00090",OLED TV,85,4K UHD,IPS,2478.57,2952.41,1262.24,49.0,81.2,75.7x43.4x2.7,No,N/A,120Hz,2023,1,A+,Pre-order
AUDIO-85-00091,"Audio 85"" - Model 00091",Audio,85,1080p,VA,284.54,348.65,143.67,50.0,79.9,75.7x43.4x4.0,Yes,N/A,144Hz,2023,3,N/A,In Stock
QLED-TV-80-00092,"QLED TV 80"" - Model 00092",QLED TV,80,8K UHD,OLED,1714.12,2155.96,865.71,49.0,77.4,71.2x40.8x3.0,Yes,N/A,75Hz,2024,2,B+,In Stock
COMMERCIAL-DISPLAY-40-00093,"Commercial Display 40"" - Model 00093",Commercial Display,40,8K UHD,QLED,1170.39,1479.43,674.89,42.0,46.9,35.6x20.4x3.3,Yes,Yes,75Hz,2024,3,B+,Limited
OLED-TV-65-00094,"OLED TV 65"" - Model 00094",OLED TV,65,4K UHD,QLED,2108.17,2535.17,1121.51,47.0,67.0,57.9x33.1x2.5,Yes,Yes,75Hz,2024,2,A+,Limited
PROJECTOR-24-00095,"Projector 24"" - Model 00095",Projector,24,4K UHD,DLP,731.77,881.48,481.35,34.0,33.2,21.4x12.2x4.0,N/A,Yes,75Hz,2024,1,A+++,In Stock
QLED-TV-83-00096,"QLED TV 83"" - Model 00096",QLED TV,83,720p,IPS,1786.39,2189.71,897.16,50.0,77.0,73.9x42.3x3.2,No,No,144Hz,2023,2,A+,In Stock
OLED-TV-55-00097,"OLED TV 55"" - Model 00097",OLED TV,55,720p,DLP,1949.81,2218.21,1038.97,47.0,53.0,49.0x28.1x2.2,No,Yes,144Hz,2024,2,A+++,In Stock
ACCESSORIES-0-00098,Accessories - SKU 00098,Accessories,0,1440p,N/A,173.04,205.3,100.42,42.0,4.0,N/A,Yes,No,75Hz,2023,1,A++,In Stock
COMPUTER-MONITOR-55-00099,"Computer Monitor 55"" - Model 00099",Computer Monitor,55,1080p,VA,681.52,765.81,354.95,48.0,53.9,49.0x28.1x3.1,No,N/A,120Hz,2023,5,B+,Pre-order
QLED-TV-48-00100,"QLED TV 48"" - Model 00100",QLED TV,48,8K UHD,OLED,1273.17,1405.03,870.75,32.0,47.3,42.7x24.5x3.4,No,N/A,120Hz,2023,3,B+,Pre-order
LCD-TV-60-00101,"LCD TV 60"" - Model 00101",LCD TV,60,4K UHD,Laser,709.26,824.09,376.87,47.0,59.4,53.4x30.6x4.9,Yes,No,165Hz,2023,3,N/A,Limited
PROJECTOR-48-00102,"Projector 48"" - Model 00102",Projector,48,8K UHD,DLP,1904.25,2429.91,1043.24,45.0,45.0,42.7x24.5x4.7,N/A,N/A,N/A,2023,3,B+,Pre-order
PROJECTOR-48-00103,"Projector 48"" - Model 00103",Projector,48,4K UHD,N/A,325.29,419.15,211.81,35.0,47.1,42.7x24.5x2.6,N/A,N/A,75Hz,2024,5,A+,Pre-order
OLED-TV-24-00104,"OLED TV 24"" - Model 00104",OLED TV,24,4K UHD,QLED,1329.78,1507.6,697.56,48.0,29.4,21.4x12.2x2.4,N/A,N/A,N/A,2024,5,N/A,Limited
COMPUTER-MONITOR-50-00105,"Computer Monitor 50"" - Model 00105",Computer Monitor,50,1440p,OLED,639.24,766.64,382.9,40.0,46.3,44.5x25.5x4.1,Yes,N/A,75Hz,2024,3,B+,Pre-order
COMMERCIAL-DISPLAY-43-00106,"Commercial Display 43"" - Model 00106",Commercial Display,43,8K UHD,OLED,1080.15,1258.94,591.72,45.0,40.1,38.3x21.9x2.3,N/A,N/A,120Hz,2024,2,N/A,Limited
COMPUTER-MONITOR-40-00107,"Computer Monitor 40"" - Model 00107",Computer Monitor,40,8K UHD,N/A,550.39,606.29,361.72,34.0,45.6,35.6x20.4x3.1,N/A,Yes,165Hz,2024,1,A+,Pre-order
PROJECTOR-65-00108,"Projector 65"" - Model 00108",Projector,65,1080p,LCD,1522.85,1943.01,904.66,41.0,63.2,57.9x33.1x4.9,N/A,No,75Hz,2024,2,N/A,Limited
PROJECTOR-27-00109,"Projector 27"" - Model 00109",Projector,27,720p,Laser,1075.48,1353.92,555.25,48.0,30.1,24.0x13.8x4.8,No,N/A,N/A,2024,3,A+++,In Stock
COMPUTER-MONITOR-27-00110,"Computer Monitor 27"" - Model 00110",Computer Monitor,27,1440p,DLP,376.54,486.3,205.02,46.0,35.2,24.0x13.8x2.9,No,No,N/A,2023,2,N/A,In Stock
QLED-TV-85-00111,"QLED TV 85"" - Model 00111",QLED TV,85,8K UHD,IPS,1851.84,2065.62,1278.43,31.0,83.0,75.7x43.4x2.9,No,No,144Hz,2024,3,A+,In Stock
PROJECTOR-48-00112,"Projector 48"" - Model 00112",Projector,48,1080p,Laser,1534.5,1917.8,1050.48,32.0,47.2,42.7x24.5x4.9,N/A,No,75Hz,2024,3,N/A,In Stock
COMPUTER-MONITOR-40-00113,"Computer Monitor 40"" - Model 00113",Computer Monitor,40,4K UHD,Laser,506.07,588.69,347.23,31.0,45.8,35.6x20.4x4.0,No,N/A,165Hz,2024,3,N/A,In Stock
PROJECTOR-24-00114,"Projector 24"" - Model 00114",Projector,24,8K UHD,N/A,1837.28,2289.55,983.25,46.0,33.3,21.4x12.2x4.7,N/A,N/A,165Hz,2024,5,A+++,Pre-order
QLED-TV-60-00115,"QLED TV 60"" - Model 00115",QLED TV,60,4K UHD,DLP,1499.61,1869.2,936.3,38.0,55.9,53.4x30.6x4.8,N/A,Yes,75Hz,2024,2,B+,In Stock
COMPUTER-MONITOR-55-00116,"Computer Monitor 55"" - Model 00116",Computer Monitor,55,8K UHD,DLP,676.14,859.37,345.15,49.0,51.0,49.0x28.1x2.4,No,Yes,60Hz,2024,3,N/A,In Stock
LCD-TV-85-00117,"LCD TV 85"" - Model 00117",LCD TV,85,1440p,DLP,922.34,1090.0,462.78,50.0,82.3,75.7x43.4x2.7,Yes,No,240Hz,2023,3,A++,Pre-order
ACCESSORIES-0-00118,Accessories - SKU 00118,Accessories,0,4K UHD,N/A,305.26,360.17,202.34,34.0,8.9,N/A,N/A,N/A,144Hz,2023,3,A+,In Stock
COMMERCIAL-DISPLAY-98-00119,"Commercial Display 98"" - Model 00119",Commercial Display,98,1080p,QLED,1781.21,2142.14,990.29,44.0,91.9,87.2x50.0x4.7,No,No,N/A,2023,3,B+,In Stock
AUDIO-65-00120,"Audio 65"" - Model 00120",Audio,65,4K UHD,QLED,120.67,135.16,75.8,37.0,64.7,57.9x33.1x4.5,No,Yes,60Hz,2024,2,A+++,In Stock
AUDIO-50-00121,"Audio 50"" - Model 00121",Audio,50,4K UHD,LCD,129.68,152.46,70.42,46.0,54.2,44.5x25.5x2.6,N/A,No,144Hz,2024,2,A++,Limited
COMMERCIAL-DISPLAY-55-00122,"Commercial Display 55"" - Model 00122",Commercial Display,55,1080p,LCD,1299.97,1683.99,865.12,33.0,58.1,49.0x28.1x4.2,N/A,Yes,60Hz,2024,5,A++,Pre-order
LCD-TV-24-00123,"LCD TV 24"" - Model 00123",LCD TV,24,1440p,QLED,466.81,577.17,304.69,35.0,24.3,21.4x12.2x4.4,N/A,N/A,75Hz,2023,2,B+,Limited
AUDIO-40-00124,"Audio 40"" - Model 00124",Audio,40,1080p,QLED,213.03,263.79,136.93,36.0,41.9,35.6x20.4x4.6,Yes,N/A,240Hz,2023,5,A++,Pre-order
ACCESSORIES-0-00125,Accessories - SKU 00125,Accessories,0,8K UHD,LCD,224.42,264.05,154.3,31.0,9.8,N/A,No,Yes,165Hz,2024,1,A+,In Stock
AUDIO-83-00126,"Audio 83"" - Model 00126",Audio,83,8K UHD,Laser,278.39,310.77,169.65,39.0,75.6,73.9x42.3x2.6,No,Yes,144Hz,2024,2,A+,In Stock
QLED-TV-24-00127,"QLED TV 24"" - Model 00127",QLED TV,24,4K UHD,DLP,893.48,1047.44,491.16,45.0,30.3,21.4x12.2x3.7,No,Yes,N/A,2024,5,B+,In Stock
ACCESSORIES-0-00128,Accessories - SKU 00128,Accessories,0,8K UHD,IPS,317.68,353.17,179.32,44.0,5.4,N/A,No,No,75Hz,2024,3,B+,In Stock
QLED-TV-60-00129,"QLED TV 60"" - Model 00129",QLED TV,60,1080p,IPS,1457.82,1633.05,1015.6,30.0,53.7,53.4x30.6x2.4,N/A,No,N/A,2023,2,A+++,In Stock
LCD-TV-40-00130,"LCD TV 40"" - Model 00130",LCD TV,40,1440p,OLED,519.92,587.21,321.84,38.0,42.5,35.6x20.4x4.2,Yes,N/A,240Hz,2024,2,B+,Limited
COMPUTER-MONITOR-45-00131,"Computer Monitor 45"" - Model 00131",Computer Monitor,45,8K UHD,VA,658.33,728.58,358.43,46.0,43.1,40.0x22.9x3.2,Yes,N/A,120Hz,2023,3,A+,In Stock
